recording_id,species_id,songtype_id,t_min,f_min,t_max,f_max,kfold
003bec244,14,1,44.544,2531.25,45.1307,5531.25,1
006ab765f,23,1,39.9615,7235.16,46.0452,11283.4,1
007f87ba2,12,1,39.136,562.5,42.272,3281.25,1
0099c367b,17,4,51.4206,1464.26,55.1996,4565.04,2
009b760e6,10,1,50.0854,947.461,52.5293,10852.7,2
00b404881,8,1,0.0747,3750.0,4.1973,5531.25,2
00d442df7,0,1,19.3653,5906.25,20.16,8250.0,2
011f25080,18,1,5.6853,3187.5,6.3787,5062.5,0
015113cad,15,1,50.0533,93.75,53.3973,1125.0,0
0151b7d20,1,1,46.032,3843.75,46.928,5625.0,3
01b41f92b,6,1,44.24,562.5,46.384,4406.25,3
0201197ec,10,1,43.3575,947.461,45.8014,10852.7,3
0209f7ab2,7,1,50.7573,4687.5,53.8987,11437.5,4
0151b7d20,2,1,46.032,3843.75,46.928,5625.0,4
